3,7,16,19,40,42,12
2,23,33,38,39,45,6
1,7,13,14,34,45,8
2,10,18,19,39,49,24
9,10,21,22,25,36,20
2,7,26,41,44,45,46
21,23,32,36,39,43,12
4,11,24,25,29,30,8
9,13,27,31,32,39,19
6,14,32,33,39,43,13
4,12,24,25,39,48,9
6,16,20,21,24,35,13
1,3,8,15,20,48,46
9,20,25,35,39,48,47
1,11,22,35,36,40,28
3,6,11,18,25,28,35
11,16,18,27,38,46,43
6,12,24,26,37,46,36
16,35,36,37,39,49,45
20,28,29,31,35,41,6
13,15,18,24,33,49,10
12,13,17,27,41,48,46
5,7,17,22,24,47,20
6,10,23,27,47,48,30
12,19,22,27,28,31,45
7,15,22,38,45,49,31
1,16,22,24,47,48,7
14,18,19,34,45,47,48
17,23,30,37,39,49,43
4,7,34,40,44,49,37
19,25,27,28,33,39,37
5,26,27,35,45,46,37
9,11,12,14,23,25,42
5,11,29,37,43,47,10
5,12,13,38,47,48,3
2,6,10,22,40,45,17
11,15,33,38,41,43,21
14,33,41,42,44,48,47
4,8,23,26,29,36,38
5,11,25,40,45,47,39
5,12,13,25,36,48,8
1,2,6,16,18,26,47
4,10,15,17,21,40,30
4,8,21,23,24,43,13
7,10,11,22,40,45,18
1,6,17,19,20,40,22
7,14,16,37,39,47,34
6,10,14,25,26,32,7
7,22,27,35,43,48,45
4,17,23,28,33,37,15
10,18,25,28,39,43,48
6,12,18,19,32,36,34
16,29,30,35,42,43,1
4,20,22,26,38,47,27
12,13,16,21,28,48,30
3,27,29,37,47,48,11
20,26,29,31,37,49,30
